id	rollout_key	gold
1	cec01541-5ace-4d2d-954c-c2f4a0726aed#0	2
2	cec01541-5ace-4d2d-954c-c2f4a0726aed#1	2
3	cec01541-5ace-4d2d-954c-c2f4a0726aed#2	2
4	cec01541-5ace-4d2d-954c-c2f4a0726aed#3	2
5	cec01541-5ace-4d2d-954c-c2f4a0726aed#4	2
6	cec01541-5ace-4d2d-954c-c2f4a0726aed#5	2
7	cec01541-5ace-4d2d-954c-c2f4a0726aed#6	2
8	cec01541-5ace-4d2d-954c-c2f4a0726aed#7	2
9	cf6f7053-3799-492e-b790-7f25187a3a3f#0	20
10	cf6f7053-3799-492e-b790-7f25187a3a3f#1	20
11	cf6f7053-3799-492e-b790-7f25187a3a3f#2	20
12	cf6f7053-3799-492e-b790-7f25187a3a3f#3	20
13	cf6f7053-3799-492e-b790-7f25187a3a3f#4	20
14	cf6f7053-3799-492e-b790-7f25187a3a3f#5	20
15	cf6f7053-3799-492e-b790-7f25187a3a3f#6	20
16	cf6f7053-3799-492e-b790-7f25187a3a3f#7	20
17	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#0	50
18	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#1	50
19	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#2	50
20	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#3	50
21	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#4	50
22	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#5	50
23	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#6	50
24	cfc7b48f-94bf-429f-b1c9-a7ac15e86b80#7	50
25	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#0	132
26	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#1	132
27	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#2	132
28	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#3	132
29	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#4	132
30	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#5	132
31	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#6	132
32	cfebae23-1716-48aa-a1e2-bcaa2a10f0ab#7	132
33	cfecb90b-3f7d-4493-af64-ff306ba84d0f#0	2
34	cfecb90b-3f7d-4493-af64-ff306ba84d0f#1	2
35	cfecb90b-3f7d-4493-af64-ff306ba84d0f#2	2
36	cfecb90b-3f7d-4493-af64-ff306ba84d0f#3	2
37	cfecb90b-3f7d-4493-af64-ff306ba84d0f#4	2
38	cfecb90b-3f7d-4493-af64-ff306ba84d0f#5	2
39	cfecb90b-3f7d-4493-af64-ff306ba84d0f#6	2
40	cfecb90b-3f7d-4493-af64-ff306ba84d0f#7	2
41	cfef6e48-25cc-4569-a75e-ddaa113dc989#0	17
42	cfef6e48-25cc-4569-a75e-ddaa113dc989#1	17
43	cfef6e48-25cc-4569-a75e-ddaa113dc989#2	17
44	cfef6e48-25cc-4569-a75e-ddaa113dc989#3	17
45	cfef6e48-25cc-4569-a75e-ddaa113dc989#4	17
46	cfef6e48-25cc-4569-a75e-ddaa113dc989#5	17
47	cfef6e48-25cc-4569-a75e-ddaa113dc989#6	17
48	cfef6e48-25cc-4569-a75e-ddaa113dc989#7	17
49	d012bb76-bc46-4d03-ae93-c3171f7f7d66#0	615
50	d012bb76-bc46-4d03-ae93-c3171f7f7d66#1	615
51	d012bb76-bc46-4d03-ae93-c3171f7f7d66#2	615
52	d012bb76-bc46-4d03-ae93-c3171f7f7d66#3	615
53	d012bb76-bc46-4d03-ae93-c3171f7f7d66#4	615
54	d012bb76-bc46-4d03-ae93-c3171f7f7d66#5	615
55	d012bb76-bc46-4d03-ae93-c3171f7f7d66#6	615
56	d012bb76-bc46-4d03-ae93-c3171f7f7d66#7	615
57	d072daeb-c6dc-4654-b5d2-92705fe8be4a#0	36
58	d072daeb-c6dc-4654-b5d2-92705fe8be4a#1	36
59	d072daeb-c6dc-4654-b5d2-92705fe8be4a#2	36
60	d072daeb-c6dc-4654-b5d2-92705fe8be4a#3	36
61	d072daeb-c6dc-4654-b5d2-92705fe8be4a#4	36
62	d072daeb-c6dc-4654-b5d2-92705fe8be4a#5	36
63	d072daeb-c6dc-4654-b5d2-92705fe8be4a#6	36
64	d072daeb-c6dc-4654-b5d2-92705fe8be4a#7	36
65	d262fdb5-fe62-4672-8c41-0911442a9937#0	5
66	d262fdb5-fe62-4672-8c41-0911442a9937#1	5
67	d262fdb5-fe62-4672-8c41-0911442a9937#2	5
68	d262fdb5-fe62-4672-8c41-0911442a9937#3	5
69	d262fdb5-fe62-4672-8c41-0911442a9937#4	5
70	d262fdb5-fe62-4672-8c41-0911442a9937#5	5
71	d262fdb5-fe62-4672-8c41-0911442a9937#6	5
72	d262fdb5-fe62-4672-8c41-0911442a9937#7	5
73	d2dabd82-9385-4125-93c6-7d200c9ae12c#0	24
74	d2dabd82-9385-4125-93c6-7d200c9ae12c#1	24
75	d2dabd82-9385-4125-93c6-7d200c9ae12c#2	24
76	d2dabd82-9385-4125-93c6-7d200c9ae12c#3	24
77	d2dabd82-9385-4125-93c6-7d200c9ae12c#4	24
78	d2dabd82-9385-4125-93c6-7d200c9ae12c#5	24
79	d2dabd82-9385-4125-93c6-7d200c9ae12c#6	24
80	d2dabd82-9385-4125-93c6-7d200c9ae12c#7	24
81	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#0	175
82	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#1	175
83	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#2	175
84	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#3	175
85	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#4	175
86	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#5	175
87	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#6	175
88	d2ff620c-03cf-41ca-94a8-f88d2d98eccf#7	175
89	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#0	378
90	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#1	378
91	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#2	378
92	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#3	378
93	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#4	378
94	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#5	378
95	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#6	378
96	d3759330-4ccc-4a1d-b05e-9b7aadad4fe2#7	378
97	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#0	7
98	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#1	7
99	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#2	7
100	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#3	7
101	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#4	7
102	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#5	7
103	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#6	7
104	d40a16c2-4b5e-4d0e-9dbf-d49aeaa90b0a#7	7
105	d498cd3f-76d7-41b3-8970-36efa0a49a87#0	79200
106	d498cd3f-76d7-41b3-8970-36efa0a49a87#1	79200
107	d498cd3f-76d7-41b3-8970-36efa0a49a87#2	79200
108	d498cd3f-76d7-41b3-8970-36efa0a49a87#3	79200
109	d498cd3f-76d7-41b3-8970-36efa0a49a87#4	79200
110	d498cd3f-76d7-41b3-8970-36efa0a49a87#5	79200
111	d498cd3f-76d7-41b3-8970-36efa0a49a87#6	79200
112	d498cd3f-76d7-41b3-8970-36efa0a49a87#7	79200
113	d49ee66b-4483-40ff-8f63-c559dc8735b4#0	6
114	d49ee66b-4483-40ff-8f63-c559dc8735b4#1	6
115	d49ee66b-4483-40ff-8f63-c559dc8735b4#2	6
116	d49ee66b-4483-40ff-8f63-c559dc8735b4#3	6
117	d49ee66b-4483-40ff-8f63-c559dc8735b4#4	6
118	d49ee66b-4483-40ff-8f63-c559dc8735b4#5	6
119	d49ee66b-4483-40ff-8f63-c559dc8735b4#6	6
120	d49ee66b-4483-40ff-8f63-c559dc8735b4#7	6
121	d657529b-c77b-43e3-80d3-13b862ae3ea3#0	401
122	d657529b-c77b-43e3-80d3-13b862ae3ea3#1	401
123	d657529b-c77b-43e3-80d3-13b862ae3ea3#2	401
124	d657529b-c77b-43e3-80d3-13b862ae3ea3#3	401
125	d657529b-c77b-43e3-80d3-13b862ae3ea3#4	401
126	d657529b-c77b-43e3-80d3-13b862ae3ea3#5	401
127	d657529b-c77b-43e3-80d3-13b862ae3ea3#6	401
128	d657529b-c77b-43e3-80d3-13b862ae3ea3#7	401
129	d6c8b008-898a-4347-a9f5-470339cc2cd1#0	6100
130	d6c8b008-898a-4347-a9f5-470339cc2cd1#1	6100
131	d6c8b008-898a-4347-a9f5-470339cc2cd1#2	6100
132	d6c8b008-898a-4347-a9f5-470339cc2cd1#3	6100
133	d6c8b008-898a-4347-a9f5-470339cc2cd1#4	6100
134	d6c8b008-898a-4347-a9f5-470339cc2cd1#5	6100
135	d6c8b008-898a-4347-a9f5-470339cc2cd1#6	6100
136	d6c8b008-898a-4347-a9f5-470339cc2cd1#7	6100
137	d6d68efd-086f-4610-a586-78e8c8a4f7a2#0	50
138	d6d68efd-086f-4610-a586-78e8c8a4f7a2#1	50
139	d6d68efd-086f-4610-a586-78e8c8a4f7a2#2	50
140	d6d68efd-086f-4610-a586-78e8c8a4f7a2#3	50
141	d6d68efd-086f-4610-a586-78e8c8a4f7a2#4	50
142	d6d68efd-086f-4610-a586-78e8c8a4f7a2#5	50
143	d6d68efd-086f-4610-a586-78e8c8a4f7a2#6	50
144	d6d68efd-086f-4610-a586-78e8c8a4f7a2#7	50
145	d7768f4f-f936-4270-8e12-8cf2f8d782c5#0	541
146	d7768f4f-f936-4270-8e12-8cf2f8d782c5#1	541
147	d7768f4f-f936-4270-8e12-8cf2f8d782c5#2	541
148	d7768f4f-f936-4270-8e12-8cf2f8d782c5#3	541
149	d7768f4f-f936-4270-8e12-8cf2f8d782c5#4	541
150	d7768f4f-f936-4270-8e12-8cf2f8d782c5#5	541
151	d7768f4f-f936-4270-8e12-8cf2f8d782c5#6	541
152	d7768f4f-f936-4270-8e12-8cf2f8d782c5#7	541
153	d7bc9154-6a1e-4e08-8575-18d976e03ff9#0	1885
154	d7bc9154-6a1e-4e08-8575-18d976e03ff9#1	1885
155	d7bc9154-6a1e-4e08-8575-18d976e03ff9#2	1885
156	d7bc9154-6a1e-4e08-8575-18d976e03ff9#3	1885
157	d7bc9154-6a1e-4e08-8575-18d976e03ff9#4	1885
158	d7bc9154-6a1e-4e08-8575-18d976e03ff9#5	1885
159	d7bc9154-6a1e-4e08-8575-18d976e03ff9#6	1885
160	d7bc9154-6a1e-4e08-8575-18d976e03ff9#7	1885
161	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#0	43
162	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#1	43
163	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#2	43
164	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#3	43
165	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#4	43
166	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#5	43
167	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#6	43
168	d7fdca23-89b4-4dd7-a282-c68d3aa2fb4e#7	43
169	d85d0840-f3fa-4d8a-8f30-76f485f247f2#0	8
170	d85d0840-f3fa-4d8a-8f30-76f485f247f2#1	8
171	d85d0840-f3fa-4d8a-8f30-76f485f247f2#2	8
172	d85d0840-f3fa-4d8a-8f30-76f485f247f2#3	8
173	d85d0840-f3fa-4d8a-8f30-76f485f247f2#4	8
174	d85d0840-f3fa-4d8a-8f30-76f485f247f2#5	8
