id	result
1	8
2	7
3	16
4	111
5	17
6	runon
7	20
8	runon
9	runon
10	120
11	30
12	4
13	runon
14	5
15	6
16	7
17	1
18	runon
19	runon
20	runon
21	4
22	5010
23	4
24	1
25	runon
26	0
27	495
28	599
29	596
30	runon
31	799
32	531
33	1962
34	984
35	1490
36	1657
37	runon
38	1392
39	1498
40	1120
41	runon
42	no_answer
43	runon
44	175
45	520
46	3300
47	runon
48	no_answer
49	runon
50	42
51	runon
52	19
53	runon
54	runon
55	29
56	41
57	runon
58	no_answer
59	5, 23
60	runon
61	no_answer
62	no_answer
63	runon
64	0
65	19
66	9
67	51
68	29
69	17
70	3
71	46
72	33
73	390.65477131430115
74	325/14
75	21.0
76	31
77	2525
78	runon
79	runon
80	7pi^4/32
81	5
82	runon
83	10
84	40
85	7
86	runon
87	20
88	runon
89	504
90	121
91	runon
92	runon
93	runon
94	runon
95	9
96	11
97	00
98	runon
99	56
100	runon
101	runon
102	20
103	04
104	18
105	11
106	15
107	15
108	15
109	21
110	20
111	6
112	3
113	90
114	6
115	runon
116	16
117	runon
118	101
119	runon
120	1009
121	0
122	2016
123	0
124	2035147
125	2034
126	2016
127	0
128	2007
129	runon
130	runon
131	9sqrt3
132	runon
133	7
134	12.75
135	3.635
136	25
137	3
138	no_answer
139	0
140	3
141	3
142	runon
143	0
144	2
145	3
146	runon
147	39
148	20
149	runon
150	runon
151	4081765137120
152	11
153	5
154	5
155	5
156	1024
157	10
158	3
159	runon
160	1
161	4
162	119
163	runon
164	15
165	16
166	runon
167	166
168	needs_review
169	runon
170	6
171	needs_review
172	18
173	1
174	no_answer
175	3
176	no_answer
177	32768
178	65535
179	65535
180	65536
181	0
182	runon
183	65535
184	2^16
185	runon
186	127
187	17
188	15
189	61
190	runon
191	runon
192	43
193	80
194	98
195	27
196	runon
197	196
198	0
199	125
200	1
201	1
202	2
203	17
204	2
205	6840
206	34
207	34
208	34
209	12
210	needs_review
211	56
212	6
213	4
214	17
215	100
216	runon
217	runon
218	22
219	runon
220	runon
221	17
222	1
223	29
224	runon
225	146
226	227
227	180
228	252
229	17260
230	137
231	1031
232	225
233	runon
234	runon
235	runon
236	52
237	runon
238	runon
239	runon
240	runon
241	-2^(5/3)
242	-8 - 2cuberoot2
243	-6
244	-6
245	-6 - 2cuberoot2
246	-6
247	0
248	-2
249	179
250	1023
251	589
252	588
253	1868
254	590
255	588
256	3133741551
257	86
258	40
259	57
260	25
261	36
262	8
263	19
264	runon
265	127720
266	2010
267	2011
268	202110
269	2010
270	1005
271	4019
272	1005
273	runon
274	40
275	runon
276	63
277	runon
278	14
279	runon
280	runon
281	3.4
282	runon
283	runon
284	runon
285	0.10485757235875793
286	8
287	96
288	2
289	runon
290	0
291	36
292	runon
293	2
294	runon
295	84
296	72
297	0
298	runon
299	-x+1
300	0
301	x-1
302	0
303	runon
304	-2x-1
305	17
306	runon
307	1066
308	11
309	runon
310	7
311	15
312	runon
313	145
314	runon
315	99
316	770
317	199
318	90
319	18
320	121
321	0
322	5/2
323	runon
324	runon
325	4
326	3.5
327	6
328	2
329	23
330	24
331	4
332	32
333	110
334	196
335	284
336	runon
337	0
338	runon
339	runon
340	runon
341	1
342	1
343	2
344	1
345	2
346	10
347	runon
348	40
349	80
350	10
351	800
352	512
353	66
354	4
355	4
356	64
357	64
358	runon
359	runon
360	66
361	243
362	runon
363	6
364	25
365	runon
366	runon
367	runon
368	108
369	1848
370	runon
371	runon
372	1872
373	runon
374	1771
375	2
376	1
377	runon
378	runon
379	runon
380	(2a^3-7a+6)^2/4+(a^3-6a+1)^2
381	9
382	runon
383	4
384	runon
385	18
386	140
387	32
388	runon
389	runon
390	b
391	64
392	59
393	-5
394	runon
395	runon
396	runon
397	18
398	34
399	-30
400	422.5
