id	result
1	runon
2	4
3	4
4	4
5	2
6	2
7	4
8	runon
9	22
10	20
11	20
12	86
13	20
14	20
15	20
16	9
17	50
18	16\pi
19	120*pi
20	57
21	50
22	452
23	201
24	runon
25	runon
26	73
27	101
28	3
29	52
30	62
31	31
32	25
33	runon
34	1
35	runon
36	runon
37	3/2
38	5
39	runon
40	runon
41	60
42	runon
43	6
44	45
45	56.56
46	17
47	runon
48	57.735
49	runon
50	8100
51	560
52	615
53	3810
54	1560
55	576
56	336
57	6
58	runon
59	17.5
60	2\pi^4/3
61	\pi^2/6
62	6
63	-\pi^2/12
64	runon
65	runon
66	runon
67	3
68	runon
69	runon
70	runon
71	runon
72	6
73	1
74	runon
75	1019
76	999
77	999
78	999
79	1
80	999
81	172
82	90
83	240
84	runon
85	220
86	130
87	175
88	runon
89	runon
90	runon
91	runon
92	runon
93	runon
94	runon
95	1584
96	runon
97	4
98	runon
99	7
100	7
101	4
102	7
103	4
104	11
105	100
106	38063
107	runon
108	9998
109	runon
110	89964
111	89988
112	42
113	9
114	14
115	18
116	7
117	21
118	11
119	8
120	10
121	runon
122	100.4
123	runon
124	runon
125	runon
126	runon
127	201
128	200.9
129	104
130	runon
131	103
132	1647
133	5500
134	10053
135	45
136	runon
137	50
138	94
139	50
140	97
141	50
142	49
143	50
144	51
145	161
146	runon
147	runon
148	133
149	runon
150	runon
151	runon
152	121
153	4200
154	4105
155	4390
156	875
157	700
158	3975
159	900
160	1110
161	x^2
162	127
163	runon
164	1
165	2187
166	64
167	0
168	runon
169	8
170	runon
171	27
172	runon
173	runon
174	3
175	runon
176	runon
177	5
178	15
179	4.22
180	5
181	23/120
182	20
183	40
184	40
185	runon
186	35125
187	1177.26
188	runon
189	runon
190	38520.75
191	runon
192	runon
193	35/9
194	560
195	560
196	224
197	140
198	675
199	75
200	1395/4
201	7
202	4041
203	2028
204	17
205	2021
206	17
207	6
208	12136
209	1386
210	1365
211	450
212	runon
213	234
214	14
215	630
216	630
217	32400
218	2
219	runon
220	1650
221	runon
222	600
223	runon
224	runon
225	103
226	10
227	runon
228	6
229	runon
230	runon
231	793
232	runon
233	367
234	305
235	99
236	1545
237	runon
238	runon
239	65
240	192
241	runon
242	runon
243	23131
244	27554
245	254
246	runon
247	251
248	527
249	runon
250	2
251	2
252	2
253	2
254	2
255	0
256	2
257	1109
258	10561443
259	457
260	373738
261	285
262	83
263	213
264	11425
265	1
266	runon
267	runon
268	runon
269	13
270	12
271	26
272	runon
273	35
274	1268
275	317
276	171
277	59
278	runon
279	runon
280	738
281	runon
282	5083
283	840
284	runon
285	runon
286	674
287	344
288	744
289	runon
290	3
291	3
292	3
293	3
294	4
295	1
296	3.19
297	4
298	5
299	5
300	runon
301	3
302	6
303	4
304	5
305	7
306	runon
307	runon
308	runon
309	6
310	no_answer
311	0
312	4
313	runon
314	383
315	runon
316	0
317	runon
318	runon
319	runon
320	runon
321	no_answer
322	14
323	365
324	runon
325	0
326	366
327	2
328	0
329	14
330	no_answer
331	6
332	runon
333	3
334	12
335	28
336	runon
337	7
338	runon
339	3
340	137
341	runon
342	85
343	runon
344	103
345	runon
346	3
347	runon
348	679
349	runon
350	runon
351	17
352	23
353	2
354	20
355	6
356	1
357	119
358	5359474274682330628239502
359	20
360	runon
361	runon
362	runon
363	1957
364	875
365	runon
366	3004
367	79
368	0
369	runon
370	5
371	runon
372	10
373	10
374	5
375	10
376	10\sqrt{2}
377	36
378	4
379	54
380	9 + \dim_{\mathbb{R}} W
381	4
382	3
383	runon
384	11
385	runon
386	319
387	runon
388	runon
389	runon
390	runon
391	17
392	runon
393	runon
394	11
395	no_answer
396	8
397	7
398	67
399	runon
400	runon
