id	result
1	runon
2	252
3	343
4	343
5	771
6	1
7	27
8	703
9	26
10	12
11	runon
12	runon
13	29/11
14	runon
15	30
16	13
17	18
18	200
19	14
20	no_answer
21	40
22	51
23	25
24	53
25	runon
26	runon
27	runon
28	no_answer
29	5
30	runon
31	runon
32	0
33	runon
34	runon
35	0
36	runon
37	125
38	999
39	runon
40	0
41	runon
42	2
43	runon
44	runon
45	1
46	runon
47	7
48	2, 3, 13
49	23
50	runon
51	41
52	169
53	6
54	runon
55	41
56	25
57	1250%
58	1250
59	1250
60	1250%
61	1250
62	125%
63	8%
64	1250
65	6
66	12
67	runon
68	3
69	12
70	64
71	2
72	8
73	17
74	runon
75	runon
76	runon
77	runon
78	runon
79	runon
80	runon
81	runon
82	24
83	runon
84	no_answer
85	256
86	16
87	128
88	544
89	100
90	64
91	runon
92	needs_review
93	25
94	runon
95	runon
96	100
97	1
98	2
99	2
100	2
101	2
102	2
103	runon
104	2
105	runon
106	9
107	4
108	12
109	109
110	7
111	runon
112	10
113	runon
114	runon
115	runon
116	runon
117	89
118	runon
119	256
120	650
121	27
122	3
123	24
124	3
125	runon
126	runon
127	7
128	3
129	runon
130	7
131	4
132	4
133	runon
134	no_answer
135	9
136	runon
137	6
138	9
139	19
140	6
141	13
142	0
143	6
144	1
145	35/3
146	runon
147	runon
148	20
149	1
150	runon
151	-3
152	0
153	runon
154	0
155	1
156	runon
157	runon
158	1
159	runon
160	1
161	109
162	144
163	runon
164	148
165	147
166	129
167	6
168	8192
169	runon
170	runon
171	runon
172	n is an odd integer
173	1
174	runon
175	No such n
176	2
177	33
178	37
179	needs_review
180	runon
181	2
182	runon
183	runon
184	needs_review
185	no_answer
186	1
187	12
188	2
189	2
190	30
191	2
192	26
193	runon
194	6
195	30/11
196	12
197	15
198	runon
199	runon
200	9.29
201	runon
202	runon
203	4
204	runon
205	runon
206	6
207	runon
208	0
209	21
210	105
211	255
212	105
213	630
214	36
215	105
216	10.5
217	runon
218	runon
219	runon
220	runon
221	runon
222	runon
223	runon
224	runon
225	52
226	35
227	52
228	52
229	69
230	52
231	52
232	676
233	1
234	runon
235	0
236	runon
237	runon
238	2023!
239	999
240	1011
241	1
242	2
243	6
244	0
245	runon
246	0
247	2
248	2
249	167
250	15
251	587
252	29
253	runon
254	30
255	runon
256	492
257	0
258	12
259	9
260	0
261	6
262	4
263	runon
264	9
265	48
266	42
267	48
268	12
269	25
270	20
271	96
272	14
273	17
274	runon
275	runon
276	runon
277	7
278	runon
279	1001
280	runon
281	3005
282	17
283	1507
284	runon
285	76
286	20
287	15
288	runon
289	87
290	77
291	181
292	runon
293	runon
294	59
295	21
296	158
297	677
298	125
299	15
300	1055
301	runon
302	1903
303	7
304	407
305	0
306	runon
307	1525
308	no_answer
309	2008
310	runon
311	runon
312	runon
313	5
314	29
315	6
316	3
317	5
318	4
319	10
320	17
321	59
322	needs_review
323	runon
324	43
325	69
326	49
327	107
328	69
329	36
330	12
331	36
332	36
333	runon
334	infinity
335	3
336	3676569
337	253
338	runon
339	153
340	runon
341	runon
342	1582
343	326
344	15658
345	runon
346	runon
347	{2, 3, 5, 7, 11, 13, 19}
348	24
349	5
350	9
351	42
352	{2, 3, 5, 7, 11, 13}
353	26
354	26
355	runon
356	3\sqrt{41}
357	3\sqrt{10}
358	29
359	runon
360	26
361	runon
362	runon
363	runon
364	-11
365	2
366	no_answer
367	5
368	25
369	3
370	3
371	runon
372	3
373	3
374	2n+1
375	3
376	runon
377	1
378	103
379	needs_review
380	215
381	104
382	4677
383	1875
384	101
385	14
386	runon
387	1
388	14
389	14
390	14
391	4
392	26
393	runon
394	4
395	-8
396	4
397	4
398	runon
399	runon
400	8
