id	result
1	15
2	9
3	15
4	runon
5	9
6	1
7	runon
8	9
9	9
10	11
11	21
12	runon
13	11
14	runon
15	runon
16	runon
17	runon
18	no_answer
19	76
20	74
21	76
22	76
23	runon
24	76
25	26
26	8
27	6
28	runon
29	16
30	runon
31	7
32	13
33	49
34	runon
35	runon
36	runon
37	23
38	runon
39	15
40	35
41	112
42	113
43	112
44	112
45	112
46	107
47	112
48	40
49	24
50	24
51	runon
52	18.81
53	runon
54	31/2
55	0
56	12
57	runon
58	121
59	361
60	0
61	497
62	260
63	runon
64	33
65	19
66	20
67	20
68	20
69	20%
70	20
71	20%
72	20%
73	8
74	14
75	runon
76	8
77	12
78	runon
79	12
80	21
81	runon
82	1299360
83	2187
84	462
85	14336
86	21504
87	runon
88	257
89	runon
90	39
91	1011
92	14
93	runon
94	needs_review
95	27
96	0
97	9
98	runon
99	14/3
100	10
101	runon
102	5
103	runon
104	sqrt(86.5)
105	31
106	runon
107	runon
108	needs_review
109	80
110	70
111	1763
112	31
113	runon
114	8
115	112
116	runon
117	15
118	runon
119	runon
120	runon
121	runon
122	runon
123	7
124	12
125	runon
126	42
127	45
128	runon
129	7
130	runon
131	runon
132	1
133	3
134	35
135	2
136	23/36
137	266
138	runon
139	256
140	35
141	35
142	runon
143	15
144	21
145	172
146	36
147	2
148	18
149	7
150	20
151	20
152	runon
153	60
154	285
155	23
156	428
157	186
158	110
159	186
160	needs_review
161	140
162	50
163	40
164	20
165	140
166	20
167	70
168	50
169	27
170	3
171	runon
172	needs_review
173	runon
174	3
175	runon
176	runon
177	5
178	6
179	15
180	36
181	2
182	4
183	4
184	runon
185	302
186	65535
187	runon
188	runon
189	100
190	runon
191	runon
192	32767
193	7
194	5
195	37
196	75
197	runon
198	5
199	24
200	needs_review
201	1/8
202	7
203	4
204	runon
205	runon
206	needs_review
207	10
208	runon
209	100
210	8
211	7
212	7
213	4
214	100
215	7
216	28
217	3041200
218	9869340
219	9217344
220	13107000
221	81180859
222	2073952
223	runon
224	runon
225	30
226	runon
227	59
228	25
229	26
230	35
231	31
232	runon
233	0
234	-16
235	40
236	10
237	-4
238	36
239	18
240	runon
241	runon
242	3072
243	1
244	5
245	runon
246	runon
247	10
248	runon
249	22
250	64
251	65
252	runon
253	1024
254	51
255	65
256	6
257	runon
258	runon
259	25
260	20
261	10
262	25
263	12
264	runon
265	265
266	154
267	runon
268	1203
269	34
270	1312
271	115
272	138
273	677784
274	-8070
275	-6055
276	0
277	-1009
278	2015
279	4061496
280	-2020
281	2
282	3/2
283	3
284	runon
285	3
286	11/2
287	1
288	8
289	81
290	runon
291	runon
292	1836
293	10890
294	4
295	2
296	1
297	8
298	36
299	runon
300	7
301	24
302	441
303	65
304	runon
305	1
306	runon
307	2
308	7
309	1
310	runon
311	1
312	7
313	16
314	runon
315	runon
316	runon
317	runon
318	4
319	runon
320	480
321	7
322	1
323	runon
324	runon
325	runon
326	runon
327	2
328	runon
329	2500
330	1000
331	2496
332	1250
333	100
334	2498
335	runon
336	0
337	49
338	6
339	5
340	7
341	5
342	runon
343	13
344	4
345	runon
346	8
347	runon
348	80
349	5.410101026544762
350	runon
351	26
352	runon
353	runon
354	22202
355	runon
356	runon
357	runon
358	236
359	runon
360	625
361	704
362	runon
363	runon
364	127
365	342
366	342
367	runon
368	55
369	runon
370	runon
371	9
372	43
373	12
374	33
375	7
376	runon
377	103
378	runon
379	11
380	runon
381	19
382	runon
383	13
384	runon
385	26214
386	32
387	10
388	36
389	372
390	1458
391	128
392	32
393	runon
394	17
395	15
396	19
397	runon
398	28
399	runon
400	11
