id	rollout_key	gold
1	6c441912-b35f-4158-b5d0-c7ac7d6470c6#0	343
2	6c441912-b35f-4158-b5d0-c7ac7d6470c6#1	343
3	6c441912-b35f-4158-b5d0-c7ac7d6470c6#2	343
4	6c441912-b35f-4158-b5d0-c7ac7d6470c6#3	343
5	6c441912-b35f-4158-b5d0-c7ac7d6470c6#4	343
6	6c441912-b35f-4158-b5d0-c7ac7d6470c6#5	343
7	6c441912-b35f-4158-b5d0-c7ac7d6470c6#6	343
8	6c441912-b35f-4158-b5d0-c7ac7d6470c6#7	343
9	6d0b145b-d3bc-4855-b513-58047b718c69#0	33
10	6d0b145b-d3bc-4855-b513-58047b718c69#1	33
11	6d0b145b-d3bc-4855-b513-58047b718c69#2	33
12	6d0b145b-d3bc-4855-b513-58047b718c69#3	33
13	6d0b145b-d3bc-4855-b513-58047b718c69#4	33
14	6d0b145b-d3bc-4855-b513-58047b718c69#5	33
15	6d0b145b-d3bc-4855-b513-58047b718c69#6	33
16	6d0b145b-d3bc-4855-b513-58047b718c69#7	33
17	6e100349-6666-4f7e-8722-75766a0577ea#0	35
18	6e100349-6666-4f7e-8722-75766a0577ea#1	35
19	6e100349-6666-4f7e-8722-75766a0577ea#2	35
20	6e100349-6666-4f7e-8722-75766a0577ea#3	35
21	6e100349-6666-4f7e-8722-75766a0577ea#4	35
22	6e100349-6666-4f7e-8722-75766a0577ea#5	35
23	6e100349-6666-4f7e-8722-75766a0577ea#6	35
24	6e100349-6666-4f7e-8722-75766a0577ea#7	35
25	6e70080a-27f8-45c4-b615-4a393e1389ab#0	6
26	6e70080a-27f8-45c4-b615-4a393e1389ab#1	6
27	6e70080a-27f8-45c4-b615-4a393e1389ab#2	6
28	6e70080a-27f8-45c4-b615-4a393e1389ab#3	6
29	6e70080a-27f8-45c4-b615-4a393e1389ab#4	6
30	6e70080a-27f8-45c4-b615-4a393e1389ab#5	6
31	6e70080a-27f8-45c4-b615-4a393e1389ab#6	6
32	6e70080a-27f8-45c4-b615-4a393e1389ab#7	6
33	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#0	358
34	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#1	358
35	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#2	358
36	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#3	358
37	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#4	358
38	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#5	358
39	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#6	358
40	6e7c1f1b-0ae7-43f9-8e5c-8be961d89d57#7	358
41	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#0	1000
42	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#1	1000
43	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#2	1000
44	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#3	1000
45	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#4	1000
46	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#5	1000
47	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#6	1000
48	6ea68b67-aeb7-4673-980a-ae4f8054e7eb#7	1000
49	6f79e419-acfa-4956-b510-b1e891a50a6a#0	706
50	6f79e419-acfa-4956-b510-b1e891a50a6a#1	706
51	6f79e419-acfa-4956-b510-b1e891a50a6a#2	706
52	6f79e419-acfa-4956-b510-b1e891a50a6a#3	706
53	6f79e419-acfa-4956-b510-b1e891a50a6a#4	706
54	6f79e419-acfa-4956-b510-b1e891a50a6a#5	706
55	6f79e419-acfa-4956-b510-b1e891a50a6a#6	706
56	6f79e419-acfa-4956-b510-b1e891a50a6a#7	706
57	70aabfd8-5728-4d08-8363-94e175fc0632#0	1250
58	70aabfd8-5728-4d08-8363-94e175fc0632#1	1250
59	70aabfd8-5728-4d08-8363-94e175fc0632#2	1250
60	70aabfd8-5728-4d08-8363-94e175fc0632#3	1250
61	70aabfd8-5728-4d08-8363-94e175fc0632#4	1250
62	70aabfd8-5728-4d08-8363-94e175fc0632#5	1250
63	70aabfd8-5728-4d08-8363-94e175fc0632#6	1250
64	70aabfd8-5728-4d08-8363-94e175fc0632#7	1250
65	7180a4a0-2d91-48e1-9b42-154e531c6a74#0	4
66	7180a4a0-2d91-48e1-9b42-154e531c6a74#1	4
67	7180a4a0-2d91-48e1-9b42-154e531c6a74#2	4
68	7180a4a0-2d91-48e1-9b42-154e531c6a74#3	4
69	7180a4a0-2d91-48e1-9b42-154e531c6a74#4	4
70	7180a4a0-2d91-48e1-9b42-154e531c6a74#5	4
71	7180a4a0-2d91-48e1-9b42-154e531c6a74#6	4
72	7180a4a0-2d91-48e1-9b42-154e531c6a74#7	4
73	718b2859-ffd7-4201-9e96-c899a29b9b6f#0	16
74	718b2859-ffd7-4201-9e96-c899a29b9b6f#1	16
75	718b2859-ffd7-4201-9e96-c899a29b9b6f#2	16
76	718b2859-ffd7-4201-9e96-c899a29b9b6f#3	16
77	718b2859-ffd7-4201-9e96-c899a29b9b6f#4	16
78	718b2859-ffd7-4201-9e96-c899a29b9b6f#5	16
79	718b2859-ffd7-4201-9e96-c899a29b9b6f#6	16
80	718b2859-ffd7-4201-9e96-c899a29b9b6f#7	16
81	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#0	256
82	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#1	256
83	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#2	256
84	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#3	256
85	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#4	256
86	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#5	256
87	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#6	256
88	71f8e4bf-711d-44f0-b218-00c8e55c0dfa#7	256
89	7215180b-759e-41e9-a371-81c0c16a3ce2#0	164
90	7215180b-759e-41e9-a371-81c0c16a3ce2#1	164
91	7215180b-759e-41e9-a371-81c0c16a3ce2#2	164
92	7215180b-759e-41e9-a371-81c0c16a3ce2#3	164
93	7215180b-759e-41e9-a371-81c0c16a3ce2#4	164
94	7215180b-759e-41e9-a371-81c0c16a3ce2#5	164
95	7215180b-759e-41e9-a371-81c0c16a3ce2#6	164
96	7215180b-759e-41e9-a371-81c0c16a3ce2#7	164
97	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#0	0
98	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#1	0
99	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#2	0
100	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#3	0
101	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#4	0
102	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#5	0
103	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#6	0
104	72d75bcb-0b1f-49b9-801a-bcce7ae5fb2b#7	0
105	7374e42c-6ce3-4afb-9985-e782f9e05c5f#0	18
106	7374e42c-6ce3-4afb-9985-e782f9e05c5f#1	18
107	7374e42c-6ce3-4afb-9985-e782f9e05c5f#2	18
108	7374e42c-6ce3-4afb-9985-e782f9e05c5f#3	18
109	7374e42c-6ce3-4afb-9985-e782f9e05c5f#4	18
110	7374e42c-6ce3-4afb-9985-e782f9e05c5f#5	18
111	7374e42c-6ce3-4afb-9985-e782f9e05c5f#6	18
112	7374e42c-6ce3-4afb-9985-e782f9e05c5f#7	18
113	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#0	578
114	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#1	578
115	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#2	578
116	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#3	578
117	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#4	578
118	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#5	578
119	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#6	578
120	73e6fac0-68c4-4618-b0bf-d2ecc62d7ce9#7	578
121	74819e2f-feec-41c5-954f-83cc1f3244e4#0	27
122	74819e2f-feec-41c5-954f-83cc1f3244e4#1	27
123	74819e2f-feec-41c5-954f-83cc1f3244e4#2	27
124	74819e2f-feec-41c5-954f-83cc1f3244e4#3	27
125	74819e2f-feec-41c5-954f-83cc1f3244e4#4	27
126	74819e2f-feec-41c5-954f-83cc1f3244e4#5	27
127	74819e2f-feec-41c5-954f-83cc1f3244e4#6	27
128	74819e2f-feec-41c5-954f-83cc1f3244e4#7	27
129	75121156-4e39-4cde-9ed6-a6bcb615040e#0	8
130	75121156-4e39-4cde-9ed6-a6bcb615040e#1	8
131	75121156-4e39-4cde-9ed6-a6bcb615040e#2	8
132	75121156-4e39-4cde-9ed6-a6bcb615040e#3	8
133	75121156-4e39-4cde-9ed6-a6bcb615040e#4	8
134	75121156-4e39-4cde-9ed6-a6bcb615040e#5	8
135	75121156-4e39-4cde-9ed6-a6bcb615040e#6	8
136	75121156-4e39-4cde-9ed6-a6bcb615040e#7	8
137	752582b2-34b3-41c9-863b-6a5624b56aa7#0	3
138	752582b2-34b3-41c9-863b-6a5624b56aa7#1	3
139	752582b2-34b3-41c9-863b-6a5624b56aa7#2	3
140	752582b2-34b3-41c9-863b-6a5624b56aa7#3	3
141	752582b2-34b3-41c9-863b-6a5624b56aa7#4	3
142	752582b2-34b3-41c9-863b-6a5624b56aa7#5	3
143	752582b2-34b3-41c9-863b-6a5624b56aa7#6	3
144	752582b2-34b3-41c9-863b-6a5624b56aa7#7	3
145	754d4fbe-a197-4a4d-a586-c6a63ba5424b#0	7
146	754d4fbe-a197-4a4d-a586-c6a63ba5424b#1	7
147	754d4fbe-a197-4a4d-a586-c6a63ba5424b#2	7
148	754d4fbe-a197-4a4d-a586-c6a63ba5424b#3	7
149	754d4fbe-a197-4a4d-a586-c6a63ba5424b#4	7
150	754d4fbe-a197-4a4d-a586-c6a63ba5424b#5	7
151	754d4fbe-a197-4a4d-a586-c6a63ba5424b#6	7
152	754d4fbe-a197-4a4d-a586-c6a63ba5424b#7	7
153	75500df9-51d2-4b4f-af1e-367849c6d135#0	1
154	75500df9-51d2-4b4f-af1e-367849c6d135#1	1
155	75500df9-51d2-4b4f-af1e-367849c6d135#2	1
156	75500df9-51d2-4b4f-af1e-367849c6d135#3	1
157	75500df9-51d2-4b4f-af1e-367849c6d135#4	1
158	75500df9-51d2-4b4f-af1e-367849c6d135#5	1
159	75500df9-51d2-4b4f-af1e-367849c6d135#6	1
160	75500df9-51d2-4b4f-af1e-367849c6d135#7	1
161	757d384a-5158-4867-b146-555e0aa92e82#0	129
162	757d384a-5158-4867-b146-555e0aa92e82#1	129
163	757d384a-5158-4867-b146-555e0aa92e82#2	129
164	757d384a-5158-4867-b146-555e0aa92e82#3	129
165	757d384a-5158-4867-b146-555e0aa92e82#4	129
166	757d384a-5158-4867-b146-555e0aa92e82#5	129
167	757d384a-5158-4867-b146-555e0aa92e82#6	129
168	757d384a-5158-4867-b146-555e0aa92e82#7	129
