id	result
1	44
2	134
3	74.5
4	10.9
5	105
6	255
7	44
8	67.2
9	runon
10	runon
11	-2/3
12	runon
13	runon
14	5/2
15	runon
16	runon
17	11
18	0
19	12
20	3
21	11
22	3
23	5
24	11
25	849450
26	22575
27	300
28	300
29	22500
30	373750
31	22500
32	22425
33	1149
34	0
35	4050
36	38
37	107
38	1542
39	0
40	722
41	57
42	8
43	no_answer
44	8
45	73
46	runon
47	24
48	32
49	5^20
50	7947
51	1012
52	5475
53	runon
54	5931
55	3593
56	runon
57	runon
58	4422306
59	59
60	112342
61	505
62	505
63	16
64	runon
65	61
66	61
67	43
68	40921
69	61
70	runon
71	40
72	runon
73	runon
74	runon
75	1258
76	runon
77	no_answer
78	5310
79	591
80	1051
81	runon
82	505
83	1075
84	runon
85	378
86	504
87	505
88	379
89	102
90	18
91	27
92	105
93	51
94	48
95	runon
96	105
97	3320
98	3040
99	364
100	828
101	runon
102	runon
103	11
104	runon
105	21392370649003
106	1530
107	3975197
108	1
109	3988
110	1998
111	runon
112	runon
113	17
114	53/4
115	13 1/2
116	20
117	no_answer
118	157/12
119	1.991
120	13/24
121	16
122	1
123	11
124	n can be any real number
125	11
126	2
127	11
128	11
129	runon
130	runon
131	10
132	runon
133	runon
134	runon
135	8
136	33
137	runon
138	00
139	46
140	56
141	80
142	89
143	runon
144	09
145	379
146	runon
147	runon
148	212
149	7418175
150	27
151	216
152	19072
153	1
154	14
155	2
156	10
157	10
158	29
159	0
160	2
161	400
162	100
163	84
164	100
165	10
166	252
167	80
168	200
169	43
170	52
171	runon
172	runon
173	runon
174	runon
175	runon
176	44
177	runon
178	10\sqrt{7}
179	runon
180	runon
181	20
182	4
183	20
184	10
185	6
186	-21
187	3
188	63
189	65
190	64
191	-3
192	-12
193	83
194	83
195	runon
196	runon
197	runon
198	79.5
199	runon
200	72
201	26
202	runon
203	28
204	25
205	runon
206	16
207	17
208	14
209	runon
210	no_answer
211	999
212	79992
213	426624
214	250
215	64
216	116652
217	runon
218	405
219	runon
220	runon
221	runon
222	runon
223	runon
224	runon
225	8
226	1
227	2
228	runon
229	0
230	3
231	8
232	runon
233	101
234	5050
235	5050
236	5050
237	5050
238	101
239	101
240	\infty
241	runon
242	runon
243	12
244	runon
245	9
246	runon
247	11
248	11
249	runon
250	2254
251	739
252	182
253	2782
254	runon
255	141
256	43
257	23
258	runon
259	36
260	36
261	80
262	1
263	60
264	100
265	125
266	75
267	75
268	151
269	runon
270	150
271	150
272	150
273	3836081
274	k+n
275	100
276	12
277	1006
278	runon
279	runon
280	runon
281	10
282	61
283	runon
284	8
285	runon
286	9
287	2
288	61
289	no_answer
290	runon
291	225
292	14400
293	4356000
294	3150
295	14400
296	2700
297	25
298	9
299	19
300	100
301	runon
302	0
303	runon
304	10
305	runon
306	90
307	66
308	30
309	30
310	30
311	30
312	540
313	runon
314	runon
315	runon
316	180
317	120
318	0
319	161
320	runon
321	11
322	11
323	11
324	11
325	43
326	2
327	10
328	runon
329	2010^2
330	11^{2010}
331	runon
332	10^{-4009}
333	2012
334	(4019^2)/2010
335	4040100
336	2010
337	17
338	1
339	9
340	100
341	0
342	3
343	2011
344	runon
345	800
346	650
347	760.5
348	159
349	300 + 200\sqrt{2}
350	125
351	625
352	200
353	263
354	8
355	runon
356	7
357	runon
358	5
359	7
360	6
361	55
362	35
363	66
364	66
365	9108
366	runon
367	runon
368	runon
369	24
370	36
371	D
372	28
373	24
374	runon
375	runon
376	32
377	160
378	320
379	60
380	5000
381	165
382	336
383	no_answer
384	165
385	80
386	82
387	81
388	80
389	80
390	82
391	79
392	2080
393	runon
394	51
395	runon
396	73
397	71
398	33
399	25
400	2
