id	result
1	runon
2	45
3	30
4	90
5	15
6	40
7	405/2
8	40
9	9
10	17
11	9
12	9
13	9
14	9
15	20
16	9
17	8650
18	1
19	runon
20	11
21	715000
22	runon
23	8651
24	80080080080080
25	505
26	101
27	1011
28	189
29	656
30	2018
31	runon
32	60
33	100
34	40
35	runon
36	100
37	100
38	100
39	100
40	runon
41	941
42	no_answer
43	runon
44	runon
45	runon
46	62
47	62500
48	647
49	needs_review
50	9
51	30
52	29
53	5
54	27
55	needs_review
56	70
57	16807
58	runon
59	runon
60	needs_review
61	1720946496
62	32
63	12
64	runon
65	2401
66	runon
67	144
68	2401
69	2300
70	22300
71	576
72	2401
73	1
74	1
75	0
76	runon
77	0
78	1
79	needs_review
80	needs_review
81	2
82	04
83	13
84	7
85	13
86	11
87	runon
88	14
89	19
90	18
91	15
92	18
93	runon
94	30
95	18
96	18
97	12
98	18
99	25/6
100	2
101	12
102	9
103	18
104	6
105	runon
106	0.236
107	19.49
108	5
109	2
110	49
111	5
112	40
113	122
114	runon
115	runon
116	70
117	runon
118	runon
119	162
120	246
121	144
122	72
123	108
124	108
125	72
126	144
127	runon
128	72\sqrt{2}
129	11
130	0
131	no_answer
132	9
133	runon
134	2006
135	runon
136	0
137	36
138	72
139	90
140	72
141	60
142	72
143	108
144	runon
145	runon
146	10+8\sqrt{10}
147	14-4\sqrt{10}
148	32
149	9
150	6
151	168-32\sqrt{10}
152	runon
153	296
154	296
155	1256
156	296
157	2176
158	296
159	19448/9
160	296
161	509
162	10000
163	2022
164	64
165	11
166	runon
167	210
168	60
169	runon
170	runon
171	runon
172	runon
173	runon
174	9/10
175	10
176	4
177	80
178	runon
179	48
180	53 1/3
181	runon
182	64
183	80
184	256/3
185	128
186	256
187	257
188	runon
189	192
190	256
191	16384
192	256
193	3
194	128
195	121
196	1
197	44
198	20
199	runon
200	runon
201	36
202	runon
203	runon
204	runon
205	12
206	12
207	9
208	runon
209	3
210	runon
211	runon
212	0
213	runon
214	runon
215	3, 4, 5
216	No such k exists.
217	runon
218	15
219	runon
220	241
221	runon
222	4
223	runon
224	6
225	20
226	21
227	301
228	runon
229	21
230	21
231	runon
232	202
233	51
234	0
235	runon
236	101
237	needs_review
238	2^{50}
239	2^{50}
240	2501
241	1
242	runon
243	1
244	no_answer
245	runon
246	8
247	14
248	runon
249	6
250	4
251	6
252	41
253	4
254	34
255	18
256	180
257	2
258	8
259	2
260	runon
261	1
262	8
263	runon
264	1
265	23
266	34
267	12
268	12
269	56
270	56
271	320
272	54
273	120
274	680
275	runon
276	15
277	336
278	needs_review
279	40
280	192
281	runon
282	198635
283	runon
284	312625
285	268
286	runon
287	102
288	124
289	5
290	400
291	runon
292	runon
293	101
294	runon
295	1
296	17
297	2520
298	1577280
299	136
300	2187
301	156
302	156
303	364
304	needs_review
305	0
306	runon
307	no_answer
308	runon
309	58
310	runon
311	110
312	runon
313	53
314	2443
315	70
316	134
317	runon
318	67
319	53
320	53
321	3
322	runon
323	needs_review
324	\sqrt{6}+8
325	7
326	runon
327	4
328	runon
329	runon
330	runon
331	19
332	0
333	runon
334	9
335	runon
336	10
337	runon
338	5064
339	31730
340	14644
341	6280
342	4356
343	runon
344	7420.5
345	510
346	runon
347	100
348	63
349	21
350	472
351	runon
352	runon
353	20
354	7
355	runon
356	15
357	36
358	\sqrt{3}
359	runon
360	634
361	75
362	runon
363	62
364	144
365	1764
366	62
367	runon
368	62
369	24
370	15
371	10
372	20
373	20
374	6
375	26.5
376	32
377	841
378	65
379	8
380	29
381	47
382	25
383	47
384	47
385	1
386	runon
387	220
388	2955755759
389	1
390	518
391	runon
392	2576
393	0
394	runon
395	1242
396	418
397	no_answer
398	2025
399	513
400	63
