id	result
1	runon
2	runon
3	runon
4	runon
5	17
6	22
7	needs_review
8	runon
9	3
10	runon
11	14
12	runon
13	runon
14	6
15	runon
16	5
17	runon
18	56
19	runon
20	runon
21	runon
22	165/4
23	47/4
24	56
25	3
26	55
27	8
28	11
29	runon
30	runon
31	runon
32	runon
33	5
34	runon
35	3
36	runon
37	runon
38	runon
39	3
40	2
41	10
42	3
43	448
44	10
45	140
46	11
47	1
48	10
49	2015
50	runon
51	runon
52	1008
53	4
54	2016
55	1029
56	1
57	1
58	1201
59	6001
60	9281
61	8401
62	1
63	runon
64	501
65	runon
66	runon
67	2.5
68	runon
69	450 cm^2
70	runon
71	80 cm^2
72	380 cm^2
73	-1
74	runon
75	runon
76	runon
77	runon
78	runon
79	-1
80	5
81	14
82	0
83	165
84	1
85	5
86	7
87	1
88	1
89	2
90	350
91	1/3
92	1
93	runon
94	2011
95	5
96	runon
97	runon
98	runon
99	runon
100	needs_review
101	runon
102	runon
103	1581
104	1154
105	891
106	630
107	\sqrt{210}
108	72\sqrt{35}
109	1260
110	6300
111	630\sqrt{5}
112	360
113	463
114	23
115	307
116	14
117	43
118	runon
119	79
120	109
121	\pi + 4
122	7
123	5
124	5
125	5
126	runon
127	5
128	3
129	351
130	407
131	23
132	71
133	71
134	933
135	71
136	0.07
137	runon
138	runon
139	27
140	runon
141	4
142	2
143	5
144	runon
145	2008
146	1004
147	1004
148	runon
149	502
150	runon
151	2008
152	2008
153	runon
154	7
155	runon
156	2
157	4
158	8
159	3
160	7
161	5
162	3
163	5
164	5
165	5
166	14
167	2
168	12
169	0
170	0
171	1
172	1
173	runon
174	0
175	1
176	runon
177	24
178	runon
179	360
180	1820
181	8
182	runon
183	35
184	1
185	15
186	81
187	27
188	3^{9/4}
189	1
190	12
191	14
192	80
193	21
194	5
195	33
196	53
197	14
198	52
199	2
200	12
201	1
202	1
203	4
204	runon
205	runon
206	1
207	runon
208	runon
209	1680
210	28228.5
211	212
212	360
213	504
214	28225
215	346
216	runon
217	86093442
218	24
219	24
220	4\sqrt{3}
221	40
222	24
223	24
224	24
225	2519
226	2519
227	2519
228	2521
229	runon
230	runon
231	2519
232	runon
233	175616
234	36
235	8
236	runon
237	8
238	8
239	21
240	70
241	18
242	2
243	2
244	18
245	18
246	runon
247	4
248	9
249	5
250	1
251	5
252	5
253	2
254	6
255	3
256	5
257	182
258	17640
259	runon
260	14
261	runon
262	19
263	runon
264	runon
265	91
266	runon
267	runon
268	23
269	61
270	3656
271	61
272	11
273	45
274	runon
275	0
276	runon
277	runon
278	16
279	2
280	runon
281	144
282	220
283	1
284	runon
285	4
286	12
287	42
288	runon
289	0
290	-1
291	202
292	205
293	202
294	202
295	202
296	404
297	95
298	1
299	runon
300	0
301	95
302	1995
303	1995
304	95
305	92
306	301
307	281
308	79
309	143
310	runon
311	10
312	281
313	366
314	runon
315	-132859
316	1
317	366
318	needs_review
319	133591
320	runon
321	1
322	4
323	1
324	runon
325	runon
326	48
327	runon
328	needs_review
329	56
330	32
331	56
332	36
333	56
334	56
335	12
336	52
337	3
338	3
339	no_answer
340	1
341	no_answer
342	60
343	64
344	runon
345	runon
346	6
347	21
348	runon
349	14
350	runon
351	16
352	5
353	6
354	6
355	5
356	4
357	6
358	6
359	6
360	7
361	needs_review
362	320
363	4930
364	4479
365	23104
366	38
367	5040
368	335
369	3c
370	4
371	runon
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	90
380	0
381	0
382	60
383	45
384	30
385	75
386	no_answer
387	75
388	75
389	75
390	120
391	75
392	75
393	46
394	runon
395	47
396	46
397	44
398	42
399	46
400	50
