id	result
1	runon
2	runon
3
4	runon
5	runon
6
7	runon
8	runon
2
10	runon
11	runon
5
13	runon
14	runon
1
16	runon
17	runon
4
19	runon
20	runon
0
22	runon
23	runon
3
25	runon
26	runon
6
28	runon
29	runon
2
31	runon
32	runon
5
34	runon
35	runon
1
37	runon
38	runon
4
40	runon
41	runon
0
43	runon
44	runon
3
46	runon
47	runon
6
49	runon
50	runon
2
52	runon
53	runon
5
55	runon
56	runon
1
58	runon
59	runon
4
61	runon
62	runon
0
64	runon
65	runon
3
67	runon
68	runon
6
70	runon
71	runon
2
73	runon
74	runon
5
76	runon
77	runon
1
79	runon
80	runon
4
82	runon
83	runon
0
85	runon
86	runon
3
88	runon
89	runon
6
91	runon
92	runon
2
94	runon
95	runon
5
97	runon
98	runon
1
100	runon
101	runon
4
103	runon
104	runon
0
106	runon
107	runon
3
109	runon
110	runon
6
112	runon
113	runon
2
115	runon
116	runon
5
118	runon
119	runon
1
121	runon
122	runon
4
124	runon
125	runon
0
127	runon
128	runon
3
130	runon
131	runon
6
133	runon
134	runon
2
136	runon
137	runon
5
139	runon
140	runon
1
142	runon
143	runon
4
145	runon
146	runon
0
148	runon
149	runon
3
151	runon
152	runon
6
154	runon
155	runon
2
157	runon
158	runon
5
160	runon
161	runon
1
163	runon
164	runon
4
166	runon
167	runon
0
169	runon
170	runon
3
172	runon
173	runon
6
175	runon
176	runon
2
178	runon
179	runon
5
181	runon
182	runon
1
184	runon
185	runon
4
187	runon
188	runon
0
190	runon
191	runon
3
193	runon
194	runon
6
196	runon
197	runon
2
199	runon
200	runon
5
202	runon
203	runon
1
205	runon
206	runon
4
208	runon
209	runon
0
211	runon
212	runon
3
214	runon
215	runon
6
217	runon
218	runon
2
220	runon
221	runon
5
223	runon
224	runon
1
226	runon
227	runon
4
229	runon
230	runon
0
232	runon
233	runon
3
235	runon
236	runon
6
238	runon
239	runon
2
241	runon
242	runon
5
244	runon
245	runon
1
247	runon
248	runon
4
250	runon
251	runon
0
253	runon
254	runon
3
256	runon
257	runon
6
259	runon
260	runon
2
262	runon
263	runon
5
265	runon
266	runon
1
268	runon
269	runon
4
271	runon
272	runon
0
274	runon
275	runon
3
277	runon
278	runon
6
280	runon
281	runon
2
283	runon
284	runon
5
286	runon
287	runon
1
289	runon
290	runon
4
292	runon
293	runon
0
295	runon
296	runon
3
298	runon
299	runon
6
301	runon
302	runon
2
304	runon
305	runon
5
307	runon
308	runon
1
310	runon
311	runon
4
313	runon
314	runon
0
316	runon
317	runon
3
319	runon
320	runon
6
322	runon
323	runon
2
325	runon
326	runon
5
328	runon
329	runon
1
331	runon
332	runon
4
334	runon
335	runon
0
337	runon
338	runon
3
340	runon
341	runon
6
343	runon
344	runon
2
346	runon
347	runon
5
349	runon
350	runon
1
352	runon
353	runon
4
355	runon
356	runon
0
358	runon
359	runon
3
361	runon
362	runon
6
364	runon
365	runon
2
367	runon
368	runon
5
370	runon
371	runon
1
373	runon
374	runon
4
376	runon
377	runon
0
379	runon
380	runon
3
382	runon
383	runon
6
385	runon
386	runon
2
388	runon
389	runon
5
391	runon
392	runon
1
394	runon
395	runon
4
397	runon
398	runon
0
400	runon
