id	result
1	50
2	n^2
3	49
4	100
5	1
6	20
7	runon
8	450
9	674
10	runon
11	runon
12	1024
13	673
14	673
15	539
16	24
17	3
18	5
19	runon
20	runon
21	runon
22	3
23	3
24	3
25	3
26	3
27	runon
28	runon
29	-7/2
30	runon
31	runon
32	runon
33	5
34	12.5
35	runon
36	5√15/2
37	runon
38	30
39	runon
40	runon
41	16
42	runon
43	401
44	208
45	runon
46	394
47	401
48	runon
49	runon
50	runon
51	17
52	runon
53	runon
54	runon
55	runon
56	runon
57	1156
58	1
59	23
60	48
61	550
62	25
63	-50
64	-1
65	1
66	3
67	runon
68	runon
69	x^x
70	1
71	1/2
72	needs_review
73	124416
74	runon
75	13824
76	runon
77	1368
78	runon
79	648
80	runon
81	runon
82	10
83	9
84	11
85	114
86	6
87	runon
88	46
89	1004
90	1005
91	1005
92	1003
93	2001
94	1004
95	1005
96	1002
97	1850
98	1
99	400
100	1323
101	1000
102	runon
103	2
104	200
105	0
106	10
107	1
108	runon
109	109^2/25225
110	10
111	50
112	-100
113	20
114	1190/29
115	runon
116	660/7
117	660
118	66
119	85
120	runon
121	0
122	2
123	runon
124	runon
125	runon
126	runon
127	runon
128	32
129	101
130	24
131	491
132	361
133	793
134	22
135	1900
136	143
137	runon
138	0
139	runon
140	1
141	runon
142	runon
143	2
144	357
145	7
146	11
147	25
148	runon
149	4
150	no_answer
151	runon
152	23
153	runon
154	58
155	11
156	9+2^(4/3)
157	34
158	459
159	20
160	runon
161	13
162	10
163	runon
164	runon
165	runon
166	runon
167	11
168	runon
169	2
170	2
171	runon
172	4
173	15
174	3
175	runon
176	runon
177	1005
178	1004
179	1004
180	1004
181	1005
182	7
183	1005
184	1004
185	runon
186	12
187	8
188	runon
189	runon
190	8
191	C
192	runon
193	31
194	62
195	57
196	74
197	98
198	34
199	35
200	43
201	200
202	100
203	runon
204	100
205	150
206	100
207	150
208	200
209	257
210	runon
211	433
212	runon
213	936
214	runon
215	runon
216	29
217	runon
218	runon
219	runon
220	15
221	runon
222	29
223	runon
224	24
225	needs_review
226	32
227	34
228	36
229	40
230	12
231	18
232	18
233	5
234	3
235	runon
236	runon
237	runon
238	-668
239	3
240	7
241	100663296
242	130
243	36
244	432
245	1
246	1446
247	3
248	81
249	100
250	-8005
251	1000
252	1000
253	990
254	50
255	19800
256	1040
257	2
258	0
259	1991
260	1007
261	100
262	1001
263	669
264	1001
265	5
266	runon
267	runon
268	3
269	10
270	-5
271	runon
272	9
273	16
274	1.5
275	runon
276	1
277	runon
278	9
279	runon
280	1
281	runon
282	runon
283	288/31
284	runon
285	576/31
286	31
287	15.5
288	12
289	7
290	runon
291	runon
292	550
293	runon
294	115
295	runon
296	26
297	-1
298	49
299	87
300	100
301	runon
302	runon
303	135
304	109
305	runon
306	runon
307	4855
308	13
309	runon
310	1
311	27
312	11
313	runon
314	78
315	1008
316	44
317	runon
318	78
319	208
320	205
321	runon
322	101
323	100.5
324	10051
325	141.5
326	100
327	51
328	runon
329	runon
330	2.4
331	1
332	needs_review
333	28
334	5
335	12
336	2
337	runon
338	1
339	runon
340	runon
341	0
342	runon
343	runon
344	120
345	13237
346	5544
347	53645
348	4321
349	33
350	171223
351	runon
352	runon
353	6.633
354	13
355	5√10+3√34
356	runon
357	3√10
358	15
359	13
360	√34
361	no_answer
362	1
363	runon
364	4
365	runon
366	4
367	3
368	runon
369	1 and 3
370	runon
371	1
372	runon
373	1 or 3
374	3
375	runon
376	1, 3, 1/5, 3/5
377	12
378	runon
379	2
380	5
381	10
382	8
383	8
384	-8
385	24
386	72
387	4
388	12
389	8
390	27
391	24
392	36
393	135
394	runon
395	runon
396	runon
397	100
398	4146
399	755-759
400	100
