id	result
1	691
2	1998
3	1999
4	316
5	1000000
6	runon
7	2001
8	3
9	2
10	13
11	108
12	61
13	41
14	11
15	21
16	7
17	144
18	needs_review
19	411
20	44
21	106
22	71
23	0
24	runon
25	runon
26	2
27	360
28	4
29	8
30	10
31	12
32	3
33	runon
34	1
35	3
36	2
37	runon
38	runon
39	1/2
40	3
41	68
42	runon
43	62
44	34
45	53
46	66
47	64
48	60
49	24
50	needs_review
51	1
52	5
53	5
54	6
55	0
56	runon
57	1000
58	1000
59	1090
60	1550
61	1900
62	runon
63	20
64	1090
65	1
66	runon
67	5200
68	200
69	50
70	runon
71	runon
72	runon
73	runon
74	6
75	6
76	3
77	runon
78	runon
79	12
80	10
81	281
82	2
83	runon
84	runon
85	2
86	needs_review
87	3
88	7
89	runon
90	157
91	27
92	-215
93	157
94	157
95	runon
96	157
97	30
98	60
99	15
100	45.93
101	30pi
102	60/pi
103	9.5493
104	30
105	runon
106	3
107	runon
108	runon
109	runon
110	needs_review
111	4
112	3
113	runon
114	3, 23
115	runon
116	6
117	runon
118	2
119	3
120	runon
121	303
122	runon
123	9
124	303
125	runon
126	runon
127	300
128	300
129	37
130	38
131	22
132	1
133	1
134	5
135	1
136	85
137	9
138	200
139	333
140	runon
141	runon
142	392
143	243
144	444
145	runon
146	49
147	49
148	25
149	36
150	49
151	49
152	49
153	401
154	99
155	401
156	453
157	runon
158	runon
159	1505
160	1540
161	66
162	44
163	60
164	5
165	50
166	59
167	runon
168	20
169	0.666666666666667
170	256
171	4
172	25
173	runon
174	8
175	runon
176	0
177	runon
178	4036029
179	20180
180	runon
181	12107
182	runon
183	12121
184	runon
185	99
186	99
187	99/3
188	99
189	runon
190	99
191	99/2
192	99
193	17
194	86
195	184
196	141
197	43
198	69
199	runon
200	9
201	31
202	998
203	31
204	63
205	126
206	61
207	496
208	90
209	runon
210	7
211	runon
212	1
213	runon
214	runon
215	runon
216	runon
217	13+2sqrt(3)
218	22
219	10+10sqrt(3)
220	14
221	10+12sqrt(3)
222	35
223	19+2sqrt(3)
224	22
225	runon
226	20000
227	runon
228	runon
229	2550
230	5000
231	runon
232	2624
233	runon
234	runon
235	runon
236	runon
237	677
238	runon
239	4060
240	runon
241	737
242	5151
243	runon
244	0
245	9
246	runon
247	runon
248	runon
249	200
250	175
251	71
252	3
253	171
254	96
255	25
256	35
257	17
258	13
259	runon
260	130
261	9
262	9
263	19
264	13
265	79
266	79
267	runon
268	497
269	9
270	11
271	101
272	23
273	2
274	11
275	runon
276	6
277	runon
278	129
279	12
280	1081
281	4
282	12
283	12
284	6
285	6
286	runon
287	6
288	6
289	634
290	729
291	2310
292	36
293	272
294	12
295	48
296	156
297	11
298	needs_review
299	needs_review
300	11
301	11
302	81
303	10
304	11
305	runon
306	2
307	2
308	runon
309	16
310	64
311	runon
312	2
313	runon
314	runon
315	runon
316	840
317	runon
318	475
319	runon
320	636
321	1
322	runon
323	1050
324	0
325	2380
326	120
327	1
328	252
329	runon
330	40
331	301
332	5346
333	no_answer
334	10606
335	40
336	39
