id	result
1	runon
2	runon
3	110
4	runon
5	108
6	runon
7	135
8	199
9	32
10	64
11	64
12	24
13	32
14	64
15	48
16	48
17	runon
18	runon
19	runon
20	447
21	runon
22	-249
23	303
24	runon
25	202
26	109
27	214
28	48
29	0
30	30
31	220
32	108
33	19
34	1200
35	phi(20!)
36	1006
37	277
38	256
39	2151
40	runon
41	54
42	4
43	27
44	runon
45	10
46	4
47	38
48	28
49	354
50	754
51	50
52	runon
53	317
54	746
55	504
56	runon
57	runon
58	917
59	0
60	4999
61	runon
62	runon
63	runon
64	500
65	413
66	runon
67	no_answer
68	runon
69	482
70	440
71	no_answer
72	413
73	19
74	runon
75	runon
76	runon
77	11
78	319
79	1353
80	runon
81	2
82	1
83	8
84	2
85	9
86	0
87	1
88	3
89	720
90	630
91	6
92	30
93	720
94	432
95	720
96	720
97	-11
98	runon
99	runon
100	-8
101	no solution
102	3,4,14
103	no solution
104	no solution
105	17/4
106	2
107	4
108	3+m
109	12
110	runon
111	2
112	7/2
113	runon
114	11
115	8
116	73
117	4
118	3
119	runon
120	10
121	306
122	64
123	180
124	120
125	34
126	34
127	150
128	40
129	runon
130	216
131	270
132	234
133	234
134	246
135	201
136	216
137	8/3
138	runon
139	2
140	6.79419368
141	runon
142	runon
143	1.939
144	5
145	3
146	5
147	7
148	21
149	runon
150	3
151	runon
152	5
153	5
154	runon
155	2
156	2
157	24
158	2
159	10
160	3
161	4
162	runon
163	12
164	8
165	14
166	8
167	8
168	runon
169	478
170	513
171	38
172	40
173	404
174	42
175	38
176	42944
177	runon
178	288
179	243sqrt3
180	648
181	runon
182	324
183	36
184	54
185	16
186	133
187	runon
188	150
189	23
190	runon
191	129
192	runon
193	105
194	30
195	30
196	runon
197	runon
198	42
199	30
200	runon
201	257
202	133
203	17
204	runon
205	51
206	91
207	7
208	23
209	runon
210	runon
211	3
212	3sqrt3
213	sqrt(2)
214	14
215	runon
216	runon
217	runon
218	8
219	24
220	12
221	runon
222	30
223	3
224	runon
225	2
226	12
227	193
228	runon
229	15
230	2010
231	11
232	18
233	1
234	16
235	63
236	1
237	63
238	2
239	3
240	7
241	runon
242	runon
243	3
244	3
245	2+v
246	2+v
247	2.5
248	3
249	runon
250	800/9
251	200
252	200
253	150
254	120
255	300
256	80
257	7
258	7
259	1
260	2
261	0
262	runon
263	runon
264	runon
265	2n
266	2
267	3
268	0
269	3
270	runon
271	0
272	0
273	runon
274	5sqrt665/4
275	70
276	runon
277	71.35
278	60
279	150.50170166
280	runon
281	runon
282	runon
283	17
284	runon
285	runon
286	0
287	-infinity
288	runon
289	12
290	2
291	10
292	7
293	21
294	runon
295	runon
296	runon
297	13
298	runon
299	8
300	2
301	121
302	201
303	runon
304	1303
305	runon
306	sqrt(2)
307	3/4
308	7/4
309	180
310	runon
311	8/27
312	2/27
313	8
314	4
315	5
316	runon
317	2r
318	runon
319	10
320	10
321	27
322	405
323	runon
324	6
325	runon
326	16
327	runon
328	101
329	6
330	10
331	6
332	11
333	-4018
334	12
335	10
336	8
337	999
338	999
339	1000
340	1
341	3
342	runon
343	999
344	1000
345	2014
346	2013
347	runon
348	1007
349	runon
350	2014
351	0
352	1007
353	686
354	687
355	684
356	786
357	686
358	686
359	686
360	686
361	53
362	19
363	155.5
364	runon
365	104.5
366	121.5
367	runon
368	199.5
369	125
370	84
371	220
372	30
373	runon
374	665
375	40sqrt1045
376	runon
377	223
378	99
379	99
380	729
381	98
382	98
383	99
384	runon
385	-7/2
386	47
387	1
388	-63/4
389	runon
390	runon
391	75%
392	runon
393	5371
394	111027
395	2019
396	5412
397	2039190
398	12102
399	2020
400	2733623
